DATE,ZHVI
12/1/2017,218950.9814
1/1/2018,220181.1448
2/1/2018,221375.6447
3/1/2018,222757.3973
4/1/2018,224015.5362
5/1/2018,225237.7301
6/1/2018,226124.6037
7/1/2018,227248.0373
8/1/2018,228325.3785
9/1/2018,229415.6166
10/1/2018,230165.2955
11/1/2018,230918.7649
12/1/2018,231723.9952
1/1/2019,232695.3
2/1/2019,233822.5908
3/1/2019,235013.7772
4/1/2019,236076.1957
5/1/2019,236868.2592
6/1/2019,237564.2944
7/1/2019,238205.1271
8/1/2019,238909.4844
9/1/2019,239529.8921
10/1/2019,240394.0271
11/1/2019,241570.0504
12/1/2019,242952.9011
1/1/2020,244475.5657
2/1/2020,245963.6209
3/1/2020,247511.6591
4/1/2020,248837.169
5/1/2020,249583.2756
6/1/2020,250003.3062
7/1/2020,250677.0226
8/1/2020,252291.5532
9/1/2020,255064.513
10/1/2020,258451.6897
11/1/2020,262282.4645
12/1/2020,266016.0257
1/1/2021,269606.8518
2/1/2021,273277.4342
3/1/2021,277108.8259
4/1/2021,281299.1422
5/1/2021,285947.7057
6/1/2021,290947.1113
7/1/2021,295434.6358
8/1/2021,298623.6738
9/1/2021,300570.0647
10/1/2021,302477.7616
11/1/2021,305063.9734
12/1/2021,308251.3063
1/1/2022,312636.3434
2/1/2022,317888.2876
3/1/2022,324063.2008
4/1/2022,330234.7173
5/1/2022,335749.599
6/1/2022,340359.3992
7/1/2022,342781.9276
8/1/2022,343150.6791
9/1/2022,341891.6651
10/1/2022,340680.9939
11/1/2022,339686.9706
12/1/2022,338784.1638
1/1/2023,337601.0132
2/1/2023,336736.3332
3/1/2023,336675.2177
4/1/2023,337633.6557
5/1/2023,339249.4479
6/1/2023,341175.1621
7/1/2023,342912.2994
8/1/2023,344524.2885
9/1/2023,345742.1536
10/1/2023,346653.4884
