Date,Sale_Prices,ZHVI
2008-09-30,291300.0,393900.0
2008-09-30,202600.0,219300.0
2008-09-30,238200.0,271500.0
2008-09-30,204900.0,221600.0
2008-09-30,391500.0,368300.0
2008-09-30,174800.0,182100.0
2008-09-30,175500.0,190200.0
2008-09-30,108100.0,116600.0
2008-09-30,251800.0,282900.0
2008-09-30,286000.0,306500.0
2008-09-30,116100.0,122700.0
2008-09-30,199200.0,222500.0
2008-09-30,298800.0,329500.0
2008-09-30,147400.0,150400.0
2008-09-30,139000.0,135200.0
2008-09-30,102100.0,117600.0
2008-09-30,100400.0,87100.0
2008-09-30,235700.0,246000.0
2008-09-30,143300.0,152900.0
2008-09-30,135500.0,132200.0
2008-09-30,114600.0,119400.0
2008-09-30,233000.0,241900.0
2008-09-30,254100.0,280900.0
2008-09-30,89900.0,71400.0
2008-09-30,147100.0,156200.0
2008-09-30,187700.0,195400.0
2008-10-31,174800.0,202100.0
2008-10-31,278500.0,388100.0
2008-10-31,200200.0,218700.0
2008-10-31,237700.0,270100.0
2008-10-31,207800.0,221500.0
2008-10-31,379800.0,366100.0
2008-10-31,168900.0,179100.0
2008-10-31,173900.0,188900.0
2008-10-31,108500.0,117000.0
2008-10-31,253400.0,280300.0
2008-10-31,285200.0,305000.0
2008-10-31,115500.0,122800.0
2008-10-31,192200.0,217200.0
2008-10-31,295700.0,327300.0
2008-10-31,147900.0,150200.0
2008-10-31,137700.0,136900.0
2008-10-31,99600.0,117300.0
2008-10-31,100300.0,87300.0
2008-10-31,234400.0,244400.0
2008-10-31,140700.0,153000.0
2008-10-31,132600.0,132400.0
2008-10-31,113300.0,119500.0
2008-10-31,229300.0,240300.0
2008-10-31,253800.0,278900.0
2008-10-31,90500.0,73700.0
2008-10-31,147700.0,156200.0
2008-10-31,193900.0,197700.0
2008-11-30,166000.0,199800.0
2008-11-30,264500.0,382600.0
2008-11-30,194800.0,218300.0
2008-11-30,234800.0,268900.0
2008-11-30,204300.0,221000.0
2008-11-30,379900.0,364100.0
2008-11-30,162400.0,176200.0
2008-11-30,172500.0,187700.0
2008-11-30,103500.0,117400.0
2008-11-30,253800.0,277900.0
2008-11-30,277100.0,303900.0
2008-11-30,112400.0,122900.0
2008-11-30,183600.0,211800.0
2008-11-30,296300.0,325200.0
2008-11-30,145400.0,149900.0
2008-11-30,138400.0,138600.0
2008-11-30,93000.0,117100.0
2008-11-30,97700.0,87600.0
2008-11-30,231200.0,242800.0
2008-11-30,139500.0,153200.0
2008-11-30,130100.0,132700.0
2008-11-30,110200.0,119500.0
2008-11-30,224700.0,238800.0
2008-11-30,252600.0,277000.0
2008-11-30,92000.0,75900.0
2008-11-30,147700.0,156100.0
2008-11-30,191300.0,199900.0
2008-12-31,157500.0,197700.0
2008-12-31,253100.0,376900.0
2008-12-31,189800.0,217700.0
2008-12-31,233200.0,267400.0
2008-12-31,206200.0,221100.0
2008-12-31,370800.0,361400.0
2008-12-31,155500.0,173200.0
2008-12-31,172700.0,186600.0
2008-12-31,103300.0,117900.0
2008-12-31,249100.0,275200.0
2008-12-31,270700.0,302500.0
2008-12-31,111000.0,122700.0
2008-12-31,175100.0,206500.0
2008-12-31,296500.0,323100.0
2008-12-31,144300.0,149600.0
2008-12-31,139000.0,140000.0
2008-12-31,88500.0,116800.0
2008-12-31,95000.0,87700.0
2008-12-31,230500.0,241500.0
2008-12-31,137200.0,153200.0
2008-12-31,126600.0,133000.0
2008-12-31,107300.0,119600.0
2008-12-31,217700.0,237100.0
2008-12-31,253500.0,275200.0
2008-12-31,91100.0,78100.0
2008-12-31,146700.0,156300.0
2008-12-31,186800.0,202300.0
2009-01-31,147300.0,195600.0
2009-01-31,240500.0,371400.0
2009-01-31,183200.0,216900.0
2009-01-31,233500.0,265800.0
2009-01-31,204500.0,222100.0
2009-01-31,373500.0,358900.0
2009-01-31,149500.0,170200.0
2009-01-31,167000.0,185700.0
2009-01-31,102800.0,118500.0
2009-01-31,250100.0,272700.0
2009-01-31,261700.0,301200.0
2009-01-31,107400.0,122300.0
2009-01-31,166800.0,201400.0
2009-01-31,292900.0,321200.0
2009-01-31,143900.0,149300.0
2009-01-31,138300.0,141000.0
2009-01-31,85800.0,116500.0
2009-01-31,93700.0,87600.0
2009-01-31,230100.0,240600.0
2009-01-31,136600.0,153400.0
2009-01-31,127700.0,133400.0
2009-01-31,107500.0,119600.0
2009-01-31,217300.0,235400.0
2009-01-31,254600.0,273500.0
2009-01-31,93100.0,80200.0
2009-01-31,144400.0,156700.0
2009-01-31,183500.0,204700.0
2009-02-28,139600.0,193300.0
2009-02-28,234300.0,366100.0
2009-02-28,181700.0,216200.0
2009-02-28,232200.0,264700.0
2009-02-28,209200.0,222800.0
2009-02-28,369800.0,357300.0
2009-02-28,144700.0,167400.0
2009-02-28,164300.0,184800.0
2009-02-28,107300.0,119000.0
2009-02-28,249200.0,270600.0
2009-02-28,265100.0,300200.0
2009-02-28,112800.0,122000.0
2009-02-28,161600.0,196400.0
2009-02-28,288400.0,319300.0
2009-02-28,150700.0,149000.0
2009-02-28,139500.0,142400.0
2009-02-28,85100.0,116300.0
2009-02-28,97200.0,87700.0
2009-02-28,233700.0,239400.0
2009-02-28,136100.0,153600.0
2009-02-28,129200.0,133800.0
2009-02-28,110000.0,119700.0
2009-02-28,220200.0,233900.0
2009-02-28,257300.0,271700.0
2009-02-28,91000.0,82300.0
2009-02-28,143300.0,156900.0
2009-02-28,189700.0,206300.0
2009-03-31,133000.0,190700.0
2009-03-31,226500.0,360700.0
2009-03-31,181400.0,215600.0
2009-03-31,232600.0,263600.0
2009-03-31,212900.0,222600.0
2009-03-31,370600.0,355400.0
2009-03-31,139300.0,164500.0
2009-03-31,160500.0,183500.0
2009-03-31,106700.0,119400.0
2009-03-31,253200.0,268500.0
2009-03-31,265100.0,299100.0
2009-03-31,115600.0,122000.0
2009-03-31,155300.0,191300.0
2009-03-31,289900.0,317200.0
2009-03-31,153900.0,148700.0
2009-03-31,139800.0,144000.0
2009-03-31,84600.0,115900.0
2009-03-31,102000.0,88200.0
2009-03-31,232100.0,237600.0
2009-03-31,138800.0,153700.0
2009-03-31,133100.0,134100.0
2009-03-31,111200.0,119700.0
2009-03-31,221800.0,232300.0
2009-03-31,254300.0,269400.0
2009-03-31,94300.0,84600.0
2009-03-31,142100.0,156800.0
2009-03-31,193600.0,207300.0
2009-04-30,128400.0,187900.0
2009-04-30,220600.0,354800.0
2009-04-30,184000.0,214500.0
2009-04-30,226700.0,261900.0
2009-04-30,212000.0,222300.0
2009-04-30,368900.0,352500.0
2009-04-30,133800.0,161500.0
2009-04-30,157200.0,181900.0
2009-04-30,107500.0,119800.0
2009-04-30,251200.0,265900.0
2009-04-30,267900.0,297200.0
2009-04-30,121200.0,121600.0
2009-04-30,146200.0,185800.0
2009-04-30,288500.0,314900.0
2009-04-30,152400.0,148200.0
2009-04-30,144700.0,145500.0
2009-04-30,85800.0,115500.0
2009-04-30,103900.0,88400.0
2009-04-30,226000.0,235400.0
2009-04-30,138200.0,153600.0
2009-04-30,132000.0,134300.0
2009-04-30,111000.0,119600.0
2009-04-30,218800.0,230400.0
2009-04-30,248400.0,266500.0
2009-04-30,91300.0,86800.0
2009-04-30,139700.0,156500.0
2009-04-30,194900.0,208800.0
2009-05-31,124900.0,185200.0
2009-05-31,216400.0,348400.0
2009-05-31,185000.0,213100.0
2009-05-31,221000.0,259800.0
2009-05-31,211900.0,221800.0
2009-05-31,365400.0,349700.0
2009-05-31,128200.0,158400.0
2009-05-31,152100.0,180100.0
2009-05-31,106100.0,120100.0
2009-05-31,243900.0,263100.0
2009-05-31,265200.0,294600.0
2009-05-31,122200.0,120900.0
2009-05-31,138000.0,180400.0
2009-05-31,285800.0,312200.0
2009-05-31,148000.0,147700.0
2009-05-31,145400.0,147100.0
2009-05-31,88700.0,114900.0
2009-05-31,103500.0,88500.0
2009-05-31,216600.0,233100.0
2009-05-31,137400.0,153400.0
2009-05-31,128400.0,134500.0
2009-05-31,109700.0,119500.0
2009-05-31,214400.0,228300.0
2009-05-31,238600.0,263500.0
2009-05-31,94600.0,89000.0
2009-05-31,137200.0,156100.0
2009-05-31,191200.0,211300.0
2009-06-30,125200.0,182200.0
2009-06-30,221300.0,342900.0
2009-06-30,188400.0,211900.0
2009-06-30,215700.0,257800.0
2009-06-30,201400.0,221400.0
2009-06-30,369200.0,347900.0
2009-06-30,125100.0,155600.0
2009-06-30,147400.0,178200.0
2009-06-30,107900.0,120400.0
2009-06-30,238900.0,260300.0
2009-06-30,268000.0,292900.0
2009-06-30,123700.0,120400.0
2009-06-30,132900.0,174600.0
2009-06-30,276400.0,309400.0
2009-06-30,146000.0,147200.0
2009-06-30,147600.0,148400.0
2009-06-30,92600.0,114500.0
2009-06-30,105000.0,88800.0
2009-06-30,213900.0,231000.0
2009-06-30,135500.0,153000.0
2009-06-30,126600.0,134500.0
2009-06-30,111600.0,119400.0
2009-06-30,213600.0,226400.0
2009-06-30,237100.0,260700.0
2009-06-30,97500.0,90400.0
2009-06-30,135700.0,156100.0
2009-06-30,190000.0,212000.0
2009-07-31,128000.0,179200.0
2009-07-31,231500.0,339100.0
2009-07-31,192300.0,211200.0
2009-07-31,215100.0,256600.0
2009-07-31,200500.0,221500.0
2009-07-31,362500.0,347100.0
2009-07-31,125700.0,153300.0
2009-07-31,149200.0,176600.0
2009-07-31,108600.0,120800.0
2009-07-31,228400.0,257600.0
2009-07-31,271500.0,292600.0
2009-07-31,123800.0,120200.0
2009-07-31,130100.0,168700.0
2009-07-31,272300.0,307100.0
2009-07-31,147800.0,146600.0
2009-07-31,146500.0,148700.0
2009-07-31,95800.0,114000.0
2009-07-31,106400.0,89100.0
2009-07-31,213000.0,229100.0
2009-07-31,136800.0,152600.0
2009-07-31,127500.0,134300.0
2009-07-31,111600.0,119200.0
2009-07-31,216000.0,224900.0
2009-07-31,234900.0,258500.0
2009-07-31,103700.0,90600.0
2009-07-31,136000.0,156100.0
2009-07-31,188700.0,210300.0
2009-08-31,131400.0,176200.0
2009-08-31,238900.0,336600.0
2009-08-31,198700.0,211100.0
2009-08-31,216700.0,255900.0
2009-08-31,197800.0,221500.0
2009-08-31,363000.0,346300.0
